"","cenario","obitos_sinistros_pct","obitos_af_med_pct","obitos_af_inf_pct","obitos_af_sup_pct","obitos_PM2.5_med_pct_N0","obitos_PM2.5_inf_pct_N0","obitos_PM2.5_sup_pct_N0","obitos_PM2.5_med_pct_N1","obitos_PM2.5_inf_pct_N1","obitos_PM2.5_sup_pct_N1","obitos_PM2.5_med_pct_N2","obitos_PM2.5_inf_pct_N2","obitos_PM2.5_sup_pct_N2","obitos_PM2.5_med_pct_N3","obitos_PM2.5_inf_pct_N3","obitos_PM2.5_sup_pct_N3","obitos_PM2.5_med_pct_N4","obitos_PM2.5_inf_pct_N4","obitos_PM2.5_sup_pct_N4","obitos_total_med_pct_N0","obitos_total_inf_pct_N0","obitos_total_sup_pct_N0","obitos_total_med_pct_N1","obitos_total_inf_pct_N1","obitos_total_sup_pct_N1","obitos_total_med_pct_N2","obitos_total_inf_pct_N2","obitos_total_sup_pct_N2","obitos_total_med_pct_N3","obitos_total_inf_pct_N3","obitos_total_sup_pct_N3","obitos_total_med_pct_N4","obitos_total_inf_pct_N4","obitos_total_sup_pct_N4"
"1","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","B",-1e-04,0.0195,0.0148,0.03,0.0272,0.0206,0.0304,0.023,0.0175,0.0258,0.0189,0.0143,0.0211,0.0168,0.0128,0.0188,0.0133,0.0101,0.0149,0.0466,0.0354,0.0603,0.0424,0.0323,0.0557,0.0383,0.0291,0.051,0.0362,0.0275,0.0487,0.0327,0.0249,0.0448
"3","C",3e-04,0.0014,0.0011,0.0019,0.0066,0.005,0.0074,0.0056,0.0042,0.0063,0.0046,0.0035,0.0051,0.004,0.0031,0.0045,0.0032,0.0024,0.0036,0.0084,0.0064,0.0096,0.0074,0.0057,0.0085,0.0063,0.0049,0.0073,0.0058,0.0045,0.0067,0.0049,0.0038,0.0058
"4","D",-0.001,-0.0054,-0.0071,-0.0042,-0.0087,-0.0097,-0.0065,-0.0073,-0.0082,-0.0055,-0.006,-0.0067,-0.0045,-0.0053,-0.0059,-0.004,-0.0042,-0.0047,-0.0032,-0.0151,-0.0178,-0.0117,-0.0137,-0.0162,-0.0107,-0.0124,-0.0147,-0.0096,-0.0117,-0.014,-0.0091,-0.0106,-0.0127,-0.0083
"5","E",-0.0011,-0.0181,-0.0236,-0.0139,-0.0218,-0.0245,-0.0165,-0.0184,-0.0207,-0.0139,-0.015,-0.0169,-0.0114,-0.0134,-0.015,-0.0101,-0.0105,-0.0118,-0.008,-0.041,-0.0492,-0.0314,-0.0376,-0.0453,-0.0289,-0.0342,-0.0415,-0.0263,-0.0325,-0.0396,-0.0251,-0.0297,-0.0365,-0.0229
