"","cenario","obitos_sinistros","obitos_af_med","obitos_af_inf","obitos_af_sup","obitos_PM2.5_med_N0","obitos_PM2.5_inf_N0","obitos_PM2.5_sup_N0","obitos_PM2.5_med_N1","obitos_PM2.5_inf_N1","obitos_PM2.5_sup_N1","obitos_PM2.5_med_N2","obitos_PM2.5_inf_N2","obitos_PM2.5_sup_N2","obitos_PM2.5_med_N3","obitos_PM2.5_inf_N3","obitos_PM2.5_sup_N3","obitos_PM2.5_med_N4","obitos_PM2.5_inf_N4","obitos_PM2.5_sup_N4","obitos_total_med_N0","obitos_total_inf_N0","obitos_total_sup_N0","obitos_total_med_N1","obitos_total_inf_N1","obitos_total_sup_N1","obitos_total_med_N2","obitos_total_inf_N2","obitos_total_sup_N2","obitos_total_med_N3","obitos_total_inf_N3","obitos_total_sup_N3","obitos_total_med_N4","obitos_total_inf_N4","obitos_total_sup_N4"
"1","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","B",-0.737956000967312,238.486718125474,181.916409158756,367.022868619081,332.907242907477,252.989941290147,372.09349332956,282.367877933543,214.460842808535,315.69364864372,231.512941628725,175.735695317675,258.909471547033,205.996376118229,156.32202207115,230.405782692165,163.331582685094,123.886410653739,182.728364819152,570.656005031984,434.168394447935,738.378405947674,520.11664005805,395.639295966324,681.978561261833,469.261703753232,356.914148475464,625.194384165147,443.745138242736,337.500475228939,596.690695310278,401.080344809601,305.064863811527,549.013277437265
"3","C",4.12084505158364,17.4513475042795,13.3853263650211,22.7767552087708,81.1386054469011,61.487041734229,90.8153313760183,68.5093050209767,51.9092510794036,76.6851356772964,55.8461580021929,42.3084904730058,62.5151075121023,49.5094736934375,37.5052485355457,55.4236370056391,38.9393956411488,29.4945728274676,43.5934236265609,102.710798002764,78.9932131508337,117.712931636373,90.0814975768399,69.4154224960083,103.582735937651,77.418350558056,59.8146618896105,89.4127077724567,71.0816662493006,55.0114199521504,82.3212372659935,60.511588197012,47.0007442440723,70.4910238869153
"4","D",-11.7934083078145,-66.6687912823269,-86.9757233085017,-51.1401908771429,-106.004762944336,-118.767939189017,-80.1649751924955,-89.5487208822788,-100.321619984733,-67.7324988999842,-73.0889394961835,-81.8743890376865,-55.2927131866084,-64.8692470003673,-72.6634325344676,-49.0788461693128,-51.1812586409901,-57.3265434194297,-38.7286047430444,-184.466962534477,-217.537070805334,-143.098574377453,-168.01092047242,-199.09075160105,-130.666098084942,-151.551139086325,-180.643520654003,-118.226312371566,-143.331446590509,-171.432564150784,-112.01244535427,-129.643458231132,-156.095675035746,-101.662203928002
"5","E",-13.1889680004839,-221.70975292978,-289.005318779624,-170.103269461603,-267.567680458933,-300.044333351831,-201.988773356429,-225.916310135428,-253.280801739615,-170.623091597177,-184.357399792608,-206.641789075252,-139.298845510731,-163.636728792456,-183.396002299614,-123.67046916207,-129.185503483998,-144.757836578393,-97.6703371427993,-502.466401389197,-602.238620131939,-385.281010818516,-460.815031065692,-555.475088519723,-353.915329059264,-419.256120722872,-508.83607585536,-322.591082972818,-398.53544972272,-485.590289079722,-306.962706624157,-364.084224414262,-446.952123358501,-280.962574604886
