"","cenario","obitos_sinistros","obitos_af_med","obitos_af_inf","obitos_af_sup","obitos_PM2.5_med_N0","obitos_PM2.5_inf_N0","obitos_PM2.5_sup_N0","obitos_PM2.5_med_N1","obitos_PM2.5_inf_N1","obitos_PM2.5_sup_N1","obitos_PM2.5_med_N2","obitos_PM2.5_inf_N2","obitos_PM2.5_sup_N2","obitos_PM2.5_med_N3","obitos_PM2.5_inf_N3","obitos_PM2.5_sup_N3","obitos_PM2.5_med_N4","obitos_PM2.5_inf_N4","obitos_PM2.5_sup_N4","obitos_total_med_N0","obitos_total_inf_N0","obitos_total_sup_N0","obitos_total_med_N1","obitos_total_inf_N1","obitos_total_sup_N1","obitos_total_med_N2","obitos_total_inf_N2","obitos_total_sup_N2","obitos_total_med_N3","obitos_total_inf_N3","obitos_total_sup_N3","obitos_total_med_N4","obitos_total_inf_N4","obitos_total_sup_N4"
"1","A",0,0,0,0,0,0,0,-62.7406191131494,-70.2782336741656,-47.4694778640041,-125.913199073995,-141.088578934897,-95.1997416153282,-157.636422419656,-176.665427445875,-119.143488877284,-210.70613642224,-236.208942813386,-159.161999079095,0,0,0,-62.7406191131494,-70.2782336741656,-47.4694778640041,-125.913199073995,-141.088578934897,-95.1997416153282,-157.636422419656,-176.665427445875,-119.143488877284,-210.70613642224,-236.208942813386,-159.161999079095
"2","B",-0.737956000967312,238.486718125474,181.916409158756,367.022868619081,332.907242907477,252.989941290147,372.09349332956,221.238292888964,167.917135438848,247.432978411569,108.25061887907,82.057337573274,121.142762927395,51.3129342220842,38.8722272673272,57.4419540562984,-44.2449080304707,-49.5554832074351,-33.4824623376567,570.656005031984,434.168394447935,738.378405947674,458.987055013472,349.095588596636,613.717891029682,345.999381003578,263.235790731062,487.427675545508,289.061696346591,220.050680425116,423.726866674412,193.503854094036,131.622969950353,332.802450280457
"3","C",4.12084505158364,17.4513475042795,13.3853263650211,22.7767552087708,81.1386054469011,61.487041734229,90.8153313760183,6.15952512421513,4.66383046136287,6.8969423044911,-69.4276582653487,-77.7714734782464,-52.5250163025164,-107.417307414544,-120.351481717434,-81.2319314608006,-171.020713670139,-191.679239562738,-129.24058180352,102.710798002764,78.9932131508337,117.712931636373,27.7317176800783,22.1700018779676,33.7945425648455,-47.8554657094855,-60.2653020616417,-25.627416042162,-85.8451148586807,-102.845310300829,-54.3343312004461,-149.448521114276,-174.173068146133,-102.342981543166
"4","D",-11.7934083078145,-66.6687912823269,-86.9757233085017,-51.1401908771429,-106.004762944336,-118.767939189017,-80.1649751924955,-152.800238224311,-171.240977092719,-115.494350009774,-199.83899189843,-224.01339635436,-150.971117873814,-223.435538859101,-250.4961912608,-168.754064856262,-262.868047057429,-294.766829037145,-198.451132419805,-184.466962534477,-217.537070805334,-143.098574377453,-231.262437814452,-270.010108709036,-178.427949194732,-278.301191488571,-322.782527970676,-213.904717058771,-301.897738449243,-349.265322877116,-231.687664041219,-341.330246647571,-393.535960653461,-261.384731604762
"5","E",-13.1889680004839,-221.70975292978,-289.005318779624,-170.103269461603,-267.567680458933,-300.044333351831,-201.988773356429,-289.945864247955,-325.177703779156,-218.829092966422,-312.381500995001,-350.381592056095,-235.704509198684,-323.618863454144,-363.007743328764,-244.153861085512,-342.366957598969,-384.07619356056,-258.245985583606,-502.466401389197,-602.238620131939,-385.281010818516,-524.844585178219,-627.371990559264,-402.121330428508,-547.280221925265,-652.575878836202,-418.99674666077,-558.517584384408,-665.202030108872,-427.446098547599,-577.265678529233,-686.270480340668,-441.538223045693
